date,Voltage,Charge_Capacity,Current
06/22/2018 07:29:37.000,4.255174637,1.044550419,0
06/22/2018 07:31:37.000,3.319377899,1.044550419,-6.519856453
06/22/2018 07:33:37.000,3.249276161,1.044550419,-6.519826412
06/22/2018 07:35:37.000,3.166415215,1.044550419,-6.519823074
06/22/2018 07:37:37.000,3.082532883,1.044550419,-6.52015543
06/22/2018 07:39:37.000,2.999995232,1.044550419,-6.519881725
06/22/2018 07:41:37.000,3.85844326,1.044550419,0
06/22/2018 07:43:37.000,3.877515793,1.044550419,0
06/22/2018 07:45:37.000,3.881837845,1.044550419,0
06/22/2018 07:47:37.000,4.200057983,0.010633532,3.259923935
06/22/2018 07:49:37.000,4.324132919,0.119044751,3.259986877
06/22/2018 07:51:37.000,4.363902092,0.227707684,3.26020813
06/22/2018 07:53:37.000,4.400042534,0.335158437,3.051048279
06/22/2018 07:55:37.000,4.400006294,0.427592993,2.512611389
06/22/2018 07:57:37.000,4.399996758,0.504123211,2.103292465
06/22/2018 07:59:37.000,4.399999619,0.569146991,1.814148903
06/22/2018 08:01:37.000,4.39999485,0.625925064,1.602919579
06/22/2018 08:03:37.000,4.399991989,0.676580131,1.443912506
06/22/2018 08:05:37.000,4.399947166,0.722590566,1.321921349
06/22/2018 08:07:37.000,4.399991989,0.76498884,1.22426796
06/22/2018 08:09:37.000,4.399980545,0.804312527,1.136027336
06/22/2018 08:11:37.000,4.399988174,0.84087348,1.057705879
06/22/2018 08:13:37.000,4.399971962,0.874979317,0.991597176
06/22/2018 08:15:37.000,4.400014877,0.906966448,0.929244995
06/22/2018 08:17:37.000,4.399972916,0.937017202,0.873735428
06/22/2018 08:19:37.000,4.399982452,0.965319991,0.825273514
06/22/2018 08:21:37.000,4.400032997,0.992069304,0.781254768
06/22/2018 08:23:37.000,4.400009155,1.017412066,0.738836288
06/22/2018 08:25:37.000,4.399996758,1.041335225,0.69591713
06/22/2018 08:27:37.000,4.400000572,1.063809991,0.653913498
06/22/2018 08:29:37.000,4.399992943,1.064731121,0.651993752
06/22/2018 08:31:37.000,4.274907112,1.064733624,0
06/22/2018 08:33:37.000,4.263025284,1.064733624,0
06/22/2018 08:35:37.000,4.260030746,1.064733624,0
06/22/2018 08:37:37.000,3.335330009,1.064733624,-6.519876957
06/22/2018 08:39:37.000,3.261807442,1.064733624,-6.519789696
06/22/2018 08:41:37.000,3.176687241,1.064733624,-6.519883633
06/22/2018 08:43:37.000,3.092946053,1.064733624,-6.520153522
06/22/2018 08:45:37.000,2.999982834,1.064733624,-6.520180225
06/22/2018 08:47:37.000,3.856138229,1.064733624,0
06/22/2018 08:49:37.000,3.875529289,1.064733624,0
06/22/2018 08:51:37.000,3.879868507,1.064733624,0
06/22/2018 08:53:37.000,4.200098038,0.012104515,3.259965897
06/22/2018 08:55:37.000,4.318937302,0.120513201,3.259889603
06/22/2018 08:57:37.000,4.35787487,0.229173392,3.259902954
06/22/2018 08:59:37.000,4.400015831,0.337298542,3.118835449
06/22/2018 09:01:37.000,4.400036812,0.431727409,2.564264297
06/22/2018 09:03:37.000,4.400063515,0.50969559,2.135950089
06/22/2018 09:05:37.000,4.400003433,0.575486898,1.830039978
06/22/2018 09:07:37.000,4.399913788,0.632701755,1.612699509
06/22/2018 09:09:37.000,4.399971962,0.683602989,1.447285652
06/22/2018 09:11:37.000,4.399977684,0.729632795,1.319125175
06/22/2018 09:13:37.000,4.400016785,0.77178663,1.214179993
06/22/2018 09:15:37.000,4.399950981,0.810761094,1.126107216
06/22/2018 09:17:37.000,4.400042534,0.846948564,1.046648026
06/22/2018 09:19:37.000,4.400003433,0.880662739,0.977388382
06/22/2018 09:21:37.000,4.40003109,0.912222803,0.917476654
06/22/2018 09:23:37.000,4.399989128,0.941853583,0.861453056
06/22/2018 09:25:37.000,4.39999485,0.969673812,0.807749748
06/22/2018 09:27:37.000,4.400006294,0.995799124,0.759953499
06/22/2018 09:29:37.000,4.399970055,1.020413756,0.717624664
06/22/2018 09:31:37.000,4.40003109,1.043707252,0.680006981
06/22/2018 09:33:37.000,4.400013924,1.060900331,0.651997566
06/22/2018 09:35:37.000,4.271564484,1.060901523,0
06/22/2018 09:37:37.000,4.259274483,1.060901523,0
06/22/2018 09:39:37.000,4.256186485,1.060901523,0
06/22/2018 09:41:37.000,3.330341339,1.060901523,-6.519906998
06/22/2018 09:43:37.000,3.256554604,1.060901523,-6.519809723
06/22/2018 09:45:37.000,3.171330452,1.060901523,-6.519886971
06/22/2018 09:47:37.000,3.085515022,1.060901523,-6.519893646
06/22/2018 09:49:37.000,2.999990463,1.060901523,-6.519930363
06/22/2018 09:51:37.000,3.857158661,1.060901523,0
06/22/2018 09:53:37.000,3.876430511,1.060901523,0
06/22/2018 09:55:37.000,3.880779266,1.060901523,0
06/22/2018 09:57:37.000,4.200092316,0.011160026,3.259849548
06/22/2018 09:59:37.000,4.322314262,0.119570084,3.259895325
06/22/2018 10:01:37.000,4.361674309,0.228224158,3.25994873
06/22/2018 10:03:37.000,4.400022507,0.335902512,3.069467545
06/22/2018 10:05:37.000,4.400005341,0.428795338,2.523265839
06/22/2018 10:07:37.000,4.400025368,0.505586028,2.105964661
06/22/2018 10:09:37.000,4.400008202,0.570465207,1.804068565
06/22/2018 10:11:37.000,4.400012016,0.626763701,1.58744812
06/22/2018 10:13:37.000,4.4000597,0.676945865,1.430127144
06/22/2018 10:15:37.000,4.400040627,0.722470701,1.305625916
06/22/2018 10:17:37.000,4.400048256,0.764239848,1.203349113
06/22/2018 10:19:37.000,4.399964333,0.802893579,1.117808342
06/22/2018 10:21:37.000,4.400025368,0.8388713,1.04193306
06/22/2018 10:23:37.000,4.400020599,0.872435153,0.973277092
06/22/2018 10:25:37.000,4.400020599,0.903837681,0.911170959
06/22/2018 10:27:37.000,4.399991035,0.933275402,0.855946541
06/22/2018 10:29:37.000,4.399986267,0.960984588,0.806859016
06/22/2018 10:31:37.000,4.400022507,0.987084508,0.759637833
06/22/2018 10:33:37.000,4.399999619,1.011627555,0.713065147
06/22/2018 10:35:37.000,4.399952888,1.034702539,0.672286034
06/22/2018 10:37:37.000,4.399986267,1.046814799,0.651997566
06/22/2018 10:39:37.000,4.269726753,1.046815991,0
06/22/2018 10:41:37.000,4.257172585,1.046815991,0
06/22/2018 10:43:37.000,4.254081726,1.046815991,0
06/22/2018 10:45:37.000,3.330546379,1.046815991,-6.519987583
06/22/2018 10:47:37.000,3.263362885,1.046815991,-6.51982832
06/22/2018 10:49:37.000,3.181247711,1.046815991,-6.520172119
06/22/2018 10:51:37.000,3.096630096,1.046815991,-6.519806385
06/22/2018 10:53:37.000,2.99998951,1.046815991,-6.520089626
06/22/2018 10:55:37.000,3.850516319,1.046815991,0
06/22/2018 10:57:37.000,3.870128632,1.046815991,0
